id,type,name,address
4548b64f-a5b4-4065-9744-1c2ee5930c22,매머드익스프레스,매머드익스프레스 잠실10호점,부산 중구 16길 55
6bc1f2b2-f503-43cd-857c-874972e9d2be,매머드익스프레스,매머드익스프레스 이태원10호점,광주 북구 34길 98
30998e5b-6f16-4017-bb61-ff7a19389ae7,매머드익스프레스,매머드익스프레스 성수7호점,서울 북구 31길 54
2a96f60f-fe3f-495e-90f5-97c41f9745ea,투썸플레이스,투썸플레이스 가로수길1호점,대전 중구 98길 31
7cee838c-5dc9-49e5-a808-7fde8b474cef,메가커피,메가커피 성수10호점,부산 중구 44길 13
530fb51f-6144-428f-8c9a-a452884af156,이디야,이디야 한남동5호점,인천 중구 42길 62
0e55e87d-cc22-48fb-9d9b-611bb35774e6,투썸플레이스,투썸플레이스 동대문5호점,서울 남구 40길 21
f4a45eb8-8f88-4a5f-b7f4-b343cc0d0960,투썸플레이스,투썸플레이스 연남동6호점,대전 중구 90길 47
addf484e-0ebe-48e6-90fe-4a0e9084e7ac,메가커피,메가커피 신촌1호점,대구 중구 95길 68
4000634d-f58f-4148-bdaa-94213cabcb25,할리스,할리스 여의도8호점,부산 중구 56길 25
b11d1656-9c0a-475e-aeb6-420c9e8c9122,스타벅스,스타벅스 강남2호점,대구 북구 69길 36
71c2cca1-9324-49f0-a349-1b3269d9cb05,스타벅스,스타벅스 동대문9호점,광주 남구 97길 99
414e0f76-5954-4dcb-bcbf-9756f0995588,메가커피,메가커피 홍대6호점,대전 서구 19길 75
3fa525af-8315-48bf-83c0-4d6b6d2b7055,스타벅스,스타벅스 성수6호점,대구 동구 95길 61
b6284e1e-fe35-4534-82a6-9e8c9d70b1a3,바나프레소,바나프레소 신촌6호점,광주 중구 89길 39
2f057d73-2806-408a-afea-aac72d4d16a4,매머드익스프레스,매머드익스프레스 가로수길1호점,부산 북구 19길 91
4c4e0495-f0d2-4b3c-889c-923fae18b135,할리스,할리스 여의도3호점,광주 동구 17길 48
0a70b8d0-69cd-4926-a724-0ff7b002470d,매머드익스프레스,매머드익스프레스 가로수길6호점,울산 남구 85길 47
8390b517-6107-4973-9a5d-78db1a741236,컴포즈커피,컴포즈커피 강남5호점,울산 동구 31길 39
619b87e7-5016-4c12-a608-6a41404bba53,메가커피,메가커피 가로수길3호점,광주 서구 83길 67
038d7726-9798-4a95-bfa8-c3a26b355bef,바나프레소,바나프레소 종로5호점,인천 남구 75길 79
3373d7c8-d2b9-4509-933d-cb7778c301bb,할리스,할리스 한남동8호점,대구 남구 83길 43
37178376-404b-4084-8c33-2f0bd84c7e3c,할리스,할리스 연남동5호점,인천 동구 32길 61
ae1425fb-d969-4e1c-a01f-622493b0caf5,투썸플레이스,투썸플레이스 건대9호점,광주 동구 44길 1
9d657364-325b-4559-b4f6-7b7eab543c04,할리스,할리스 동대문4호점,서울 남구 44길 90
9ab20445-8f6d-4a7e-bc00-d005fb575d52,매머드익스프레스,매머드익스프레스 압구정 로데오7호점,부산 북구 43길 45
924dce53-f6d6-4a32-b539-981b0ded3758,스타벅스,스타벅스 성수6호점,대구 동구 56길 93
73e1bc30-b095-4e2e-8113-323332a3f487,매머드익스프레스,매머드익스프레스 여의도6호점,서울 동구 80길 31
b03e79f5-009e-43e8-ad2e-311280760f49,할리스,할리스 건대7호점,대구 동구 67길 82
42852351-a8a3-4ef6-958e-ff15a0805b7e,투썸플레이스,투썸플레이스 명동4호점,울산 동구 57길 87
ccd433a0-5aab-49f8-8d25-b39e8f4189a7,투썸플레이스,투썸플레이스 명동8호점,대전 서구 21길 56
34b618a7-040d-4ad9-b291-7cdc6e5123a9,투썸플레이스,투썸플레이스 성수1호점,대구 동구 18길 55
131a26ff-d42d-4f19-afbe-b7e7464c4e80,할리스,할리스 가로수길4호점,부산 남구 90길 92
ef455008-64d4-40b7-a65d-c4e183997b30,매머드익스프레스,매머드익스프레스 홍대2호점,서울 서구 48길 39
690033db-9480-46dd-910e-50be09cb3791,컴포즈커피,컴포즈커피 가로수길2호점,대전 서구 53길 46
7a24931f-0096-4ee3-b4dc-f9c2f2e34e4c,투썸플레이스,투썸플레이스 가로수길1호점,인천 북구 40길 89
2bbed310-5627-4435-a920-f1d663d3abbf,이디야,이디야 압구정 로데오10호점,부산 중구 16길 71
3aadc6f0-6474-4ef5-9907-3fcb69371cee,투썸플레이스,투썸플레이스 가로수길10호점,대구 북구 95길 48
ba9632dc-ca6d-41be-bade-ce591e684d8c,스타벅스,스타벅스 신촌9호점,인천 중구 99길 80
63b285ff-8276-4e5a-8714-d89380ad248c,매머드익스프레스,매머드익스프레스 잠실2호점,대구 남구 33길 57
ffb6c90b-5611-46b2-ad4e-c79f456e764f,스타벅스,스타벅스 동대문3호점,부산 남구 27길 64
7feabe4f-73b3-44e7-904b-702db0c746ac,더벤티,더벤티 압구정 로데오7호점,인천 서구 70길 98
950e9a72-28ab-47ea-ac94-19a7aaed4737,매머드익스프레스,매머드익스프레스 종로2호점,울산 동구 26길 65
499d64ac-caa6-4c49-a55f-b8745bd44345,투썸플레이스,투썸플레이스 잠실6호점,부산 남구 49길 48
84e52ba2-a747-4397-9b77-60e41162b9f5,메가커피,메가커피 가로수길5호점,광주 동구 78길 2
142d469b-671c-42e5-b14c-8c2730ab114e,더벤티,더벤티 종로3호점,인천 중구 63길 74
7cb9b6b5-6d64-48ab-bd0d-bdac10a89956,할리스,할리스 여의도5호점,서울 서구 26길 14
33fb343a-cbe2-4c09-ab38-e629ae0a874d,스타벅스,스타벅스 명동1호점,대구 동구 9길 86
199c16b7-60d9-43c0-a69f-f85ed0a6f9b4,메가커피,메가커피 한남동6호점,인천 중구 61길 30
8638befe-0efc-4c52-990f-87c5cb9f1cbd,스타벅스,스타벅스 동대문6호점,광주 서구 20길 60
c29b9fa4-4192-46dc-a9ea-dff956705cae,매머드익스프레스,매머드익스프레스 강남3호점,부산 서구 71길 98
e64a6d48-b69f-4183-b2b1-f3a24fe06d62,할리스,할리스 연남동10호점,대전 동구 97길 10
f9ebb66b-fd30-4317-bac7-5da96399efc3,할리스,할리스 강남2호점,부산 서구 12길 94
382a4e5a-1a98-4962-a735-3ca15cdca1f5,이디야,이디야 압구정 로데오1호점,대전 동구 9길 93
2cc2a7e4-051b-47bf-bb2b-d0930ed6a1ee,투썸플레이스,투썸플레이스 종로7호점,광주 중구 56길 96
edc8d693-a287-44f1-9e08-50a774e8bd47,스타벅스,스타벅스 한남동6호점,부산 동구 29길 89
c23a1207-dbe3-4bab-bf61-33375eec30ac,메가커피,메가커피 여의도5호점,울산 중구 62길 2
32036ef4-2f1d-48a2-9beb-e04bb0766b59,투썸플레이스,투썸플레이스 성수7호점,인천 중구 16길 10
70ae4b5d-505b-4b71-8627-921ea5035cfa,투썸플레이스,투썸플레이스 가로수길9호점,부산 서구 66길 23
fe39c1a6-c720-4174-8ae6-296143f84a89,이디야,이디야 종로9호점,광주 남구 20길 77
8ca7947e-2e44-4795-8512-8ab99948c11e,바나프레소,바나프레소 한남동8호점,서울 서구 10길 37
8be98a65-c6ba-46bc-ab15-14a023d0fc37,메가커피,메가커피 압구정 로데오6호점,대구 서구 72길 78
4c0ad1ca-0237-4410-b924-ca77fad53942,더벤티,더벤티 건대8호점,광주 서구 18길 27
1847a3f4-e78b-45ab-863a-4b464649c55e,컴포즈커피,컴포즈커피 성수8호점,울산 서구 18길 48
7a21daf5-ba56-498f-a7d3-d7db20b285a1,더벤티,더벤티 동대문1호점,대구 동구 57길 32
8fac86ee-96eb-489b-b45d-87c15a4ecd62,스타벅스,스타벅스 명동8호점,인천 중구 30길 13
6a72c4a3-d5d1-4891-9094-36434adce862,이디야,이디야 한남동2호점,울산 동구 72길 14
e4bac2c6-6656-468a-a50a-4e70188afc0a,더벤티,더벤티 한남동6호점,인천 북구 24길 87
4accbc05-7b9b-4c69-bc46-ae1fa8b60339,매머드익스프레스,매머드익스프레스 건대6호점,인천 중구 55길 45
7a6fe5bd-07ed-4a97-bd86-a8449b07eb57,매머드익스프레스,매머드익스프레스 강남3호점,울산 동구 73길 20
174a95e5-5562-4be2-b9ab-bfa088af2ba6,이디야,이디야 이태원5호점,울산 북구 40길 32
38ee3853-128e-4b60-8379-23b423f37d1d,컴포즈커피,컴포즈커피 가로수길10호점,대구 북구 2길 43
8c0de324-f017-4a09-a210-7b0a31e1c5a1,투썸플레이스,투썸플레이스 신촌6호점,광주 남구 66길 67
ee4b0283-7f95-4d6b-a65d-3b2f3e6b3ec4,메가커피,메가커피 건대9호점,대구 북구 98길 95
04da939f-4b73-4323-b423-3331ddb55a3e,투썸플레이스,투썸플레이스 가로수길1호점,광주 동구 32길 26
3119238c-8e50-47b6-933b-7de97a498877,투썸플레이스,투썸플레이스 종로4호점,대구 중구 91길 93
d5f97296-4483-4090-8b19-c9152f5a4048,메가커피,메가커피 이태원9호점,울산 남구 62길 77
d61d5647-c21c-460a-98e9-542e1a774516,컴포즈커피,컴포즈커피 연남동5호점,울산 동구 17길 28
